timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
17.310022,1782129043341.011719,1782129043330.385498,1782129043329.855713,1782129043330.396240,0.000000,0.165000,0.030000,0.167705,-0.013600,-0.000800,-0.006400,0.800000,4.866656,6628,120.530000,24.730000,38,143
17.320022,1782129043341.011719,1782129043330.385498,1782129043339.826904,1782129043340.391357,0.030000,0.165000,0.060000,0.178115,-0.016000,0.000400,-0.002400,0.800000,4.904713,6628,120.530000,24.730000,38,143
17.330019,1782129043350.011475,1782129043350.366211,1782129043339.826904,1782129043340.391357,0.030000,0.165000,0.060000,0.178115,-0.016000,0.000400,-0.002400,0.800000,4.942547,6628,120.530000,24.730000,38,101
17.340022,1782129043361.011719,1782129043360.336182,1782129043359.853516,1782129043360.344482,0.000000,-0.240000,-0.030000,0.241868,0.003600,0.002000,-0.004800,0.800000,4.980133,6700,120.810000,24.750000,39,63
17.350014,1782129043373.011719,1782129043370.374756,1782129043369.860596,1782129043370.384277,0.015000,-0.135000,0.000000,0.135831,0.001600,0.000400,0.002400,0.800000,5.017336,6700,120.810000,24.750000,39,174
17.360020,1782129043381.011719,1782129043380.318604,1782129043379.853760,1782129043380.324707,-0.030000,-0.120000,0.030000,0.127279,0.007200,-0.005600,-0.006400,0.800000,5.054195,6900,120.930000,24.770000,38,139
17.370023,1782129043393.011719,1782129043390.339111,1782129043389.855957,1782129043390.347412,-0.060000,-0.060000,-0.030000,0.090000,0.011200,-0.009600,-0.012000,0.800000,5.090583,6900,120.930000,24.770000,38,42
17.380025,1782129043405.011719,1782129043400.390625,1782129043399.855225,1782129043400.403809,-0.045000,0.060000,-0.030000,0.080777,-0.002000,-0.004000,-0.010400,0.800000,5.126447,6957,121.010000,24.690000,38,44
17.390017,1782129043417.011719,1782129043410.356445,1782129043409.852539,1782129043410.369873,0.030000,0.300000,0.030000,0.302985,-0.020000,0.002800,-0.005200,0.800000,5.161693,6957,121.010000,24.690000,38,82
17.400018,1782129043425.011719,1782129043420.348877,1782129043419.858643,1782129043420.356689,0.045000,0.390000,0.060000,0.397146,-0.030800,0.003200,-0.001600,0.800000,5.196334,6957,121.010000,24.690000,38,151
17.410018,1782129043437.011719,1782129043430.370850,1782129043429.864014,1782129043430.378174,-0.015000,0.375000,0.060000,0.380066,-0.026000,-0.000800,0.000000,0.800000,5.230273,7114,120.650000,24.680000,39,0
17.420020,1782129043450.011475,1782129043440.350830,1782129043429.864014,1782129043430.378174,-0.015000,0.375000,0.060000,0.380066,-0.026000,-0.000800,0.000000,0.800000,5.263465,7114,120.650000,24.680000,39,159
17.430018,1782129043461.011719,1782129043450.361572,1782129043449.862305,1782129043450.375488,0.030000,0.195000,0.030000,0.199562,-0.013600,0.004400,-0.005600,0.800000,5.295838,7114,120.650000,24.680000,39,240
17.440021,1782129043461.011719,1782129043450.361572,1782129043459.855225,1782129043460.336914,0.015000,0.090000,0.090000,0.128160,-0.002000,0.003200,-0.002800,0.800000,5.327369,7114,120.650000,24.680000,39,240
17.450019,1782129043470.011475,1782129043470.383545,1782129043469.855957,1782129043470.398926,0.015000,-0.075000,0.060000,0.097211,0.005600,0.004000,-0.004400,0.800000,5.357972,7114,120.650000,24.680000,39,122
17.460019,1782129043481.011719,1782129043480.331787,1782129043479.861328,1782129043480.338135,0.000000,-0.165000,0.090000,0.187949,0.006800,0.002000,-0.006400,0.800000,5.387618,7114,120.650000,24.680000,39,97
17.470020,1782129043493.011719,1782129043490.365723,1782129043489.861816,1782129043490.375488,0.000000,-0.165000,0.030000,0.167705,0.007600,-0.002400,-0.005200,0.800000,5.416256,7114,120.650000,24.680000,39,152
17.480020,1782129043505.011719,1782129043500.351074,1782129043499.860107,1782129043500.370117,-0.015000,-0.090000,-0.060000,0.109202,0.002000,-0.004400,-0.004400,0.800000,5.443839,7342,121.010000,24.780000,39,179
17.490020,1782129043513.011719,1782129043510.332764,1782129043509.847656,1782129043510.340820,-0.015000,0.090000,-0.030000,0.096047,-0.005600,-0.002800,-0.002400,0.800000,5.470320,7342,121.010000,24.780000,39,207
